Date,Open,High,Low,Close,Volume,GDP,PAYEMS,DTB1YR,DTB6,DTB3,DGS3MO,DGS1MO,CPIAUCSL,BOGMBASE,TEDRATE
2014-06-06,301.2799987792969,301.44000244140625,299.67999267578125,300.8800048828125,129388,17149.6,138463.0,0.1,0.06,0.04,0.04,0.03,236.254,3930646.0,0.19
2014-06-09,303.760009765625,305.8399963378906,303.5199890136719,305.44000244140625,383913,17149.6,138463.0,0.11,0.06,0.04,0.04,0.02,236.254,3930646.0,0.19
2014-06-10,306.6400146484375,307.5199890136719,304.3999938964844,306.239990234375,220538,17149.6,138463.0,0.1,0.06,0.04,0.04,0.03,236.254,3930646.0,0.19
2014-06-11,305.760009765625,306.8800048828125,305.20001220703125,306.0,146375,17149.6,138463.0,0.1,0.06,0.04,0.04,0.04,236.254,3930646.0,0.19
2014-06-12,310.3999938964844,312.8800048828125,309.67999267578125,312.6400146484375,726238,17149.6,138463.0,0.1,0.06,0.04,0.04,0.03,236.254,3930646.0,0.19
2014-06-13,312.6400146484375,314.239990234375,312.1600036621094,312.9599914550781,369388,17149.6,138463.0,0.09,0.07,0.04,0.04,0.02,236.254,3930646.0,0.19
2014-06-16,313.5199890136719,314.0799865722656,312.9599914550781,313.3599853515625,227450,17149.6,138463.0,0.1,0.07,0.04,0.04,0.02,236.254,3930646.0,0.19
2014-06-17,313.0400085449219,314.7200012207031,311.8399963378906,311.9200134277344,270813,17149.6,138463.0,0.1,0.07,0.04,0.04,0.03,237.083,3930646.0,0.19
2014-06-18,313.2799987792969,313.6000061035156,310.8800048828125,312.0799865722656,280038,17149.6,138463.0,0.1,0.07,0.04,0.04,0.03,237.083,3930646.0,0.19
2014-06-19,311.20001220703125,313.9200134277344,310.239990234375,313.0400085449219,294975,17149.6,138463.0,0.09,0.06,0.03,0.03,0.03,237.083,3911514.0,0.19
2014-06-20,314.1600036621094,315.5199890136719,313.6000061035156,314.5599975585937,336000,17149.6,138463.0,0.08,0.05,0.02,0.02,0.01,237.083,3911514.0,0.19
2014-06-23,314.32000732421875,314.4800109863281,312.5599975585937,313.2799987792969,272288,17149.6,138463.0,0.08,0.04,0.02,0.02,0.01,237.083,3911514.0,0.19
2014-06-24,312.7200012207031,314.0,311.9200134277344,312.7200012207031,238700,17149.6,138463.0,0.08,0.06,0.03,0.03,0.02,237.083,3911514.0,0.19
2014-06-25,312.9599914550781,314.5599975585937,311.1199951171875,314.32000732421875,257438,17149.6,138463.0,0.12,0.06,0.03,0.03,0.01,237.083,3911514.0,0.2
