Date,Close,Label,Open,High,Low,Volume,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-06-17,27.280000686645508,1,27.46999931335449,27.75,27.170000076293945,7388800,0,0,0,0,1617.0,26.43000030517578,42737.31049346924,4,0.0,0.0,51064.93119239808,62439.38180923463,-0.009236814506415003
2020-06-18,27.88999938964844,1,27.309999465942383,28.020000457763672,27.239999771118164,6278300,0,0,0,0,1617.0,26.43000030517578,42737.31049346924,5,0.0,0.0,51064.93119239808,63425.74971199037,0.015797208014795894
2020-06-19,28.229999542236328,1,28.65999984741211,28.86000061035156,27.540000915527344,13501000,0,0,0,0,1617.0,26.43000030517578,42737.31049346924,6,0.0,0.0,51064.93119239808,63975.52995872498,0.008668092205943223
2020-06-22,28.979999542236328,-1,28.43000030517578,29.040000915527344,28.32999992370605,8862100,0,0,0,1,1617.0,26.43000030517578,42737.31049346924,7,4123.348766326904,0.1,55188.27995872498,65188.27995872498,0.01895646664877071
2020-06-23,28.71999931335449,-1,29.299999237060547,29.420000076293945,28.59000015258789,7358700,0,0,1,0,-1588.0,28.71999931335449,45607.358909606926,1,0.0,0.0,55188.27995872498,65188.27995872498,0.0
2020-06-24,27.25,1,28.40999984741211,28.6200008392334,26.81999969482422,11101100,0,1,0,0,-1588.0,28.71999931335449,45607.358909606926,2,2334.358909606928,0.05,57522.63886833191,67522.63886833191,0.035809487703694076
2020-06-25,27.940000534057617,0,27.18000030517578,28.049999237060547,27.09000015258789,8768600,0,0,0,0,0.0,27.940000534057617,0.0,0,0.0,0.0,57522.63886833191,67522.63886833191,0.0
2020-06-26,27.36000061035156,1,27.670000076293945,27.700000762939453,27.1200008392334,5255000,1,0,0,0,1727.0,27.36000061035156,47250.72105407714,1,0.0,0.0,57522.63886833191,67522.63886833191,0.0
2020-06-29,28.270000457763672,0,27.809999465942383,28.46999931335449,27.6200008392334,6966500,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,2,0.0,0.0,57522.63886833191,69094.20860481262,0.02327470849510571
2020-06-30,28.059999465942383,0,27.88999938964844,28.549999237060547,27.799999237060547,5840600,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,3,0.0,0.0,57522.63886833191,68731.53689193726,-0.00524894517498109
2020-07-01,28.350000381469727,0,28.299999237060547,28.51000022888184,27.93000030517578,6960400,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,4,0.0,0.0,57522.63886833191,69232.36847305298,0.0072867798941140816
2020-07-02,28.75,0,28.790000915527344,29.049999237060547,28.34000015258789,5545500,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,5,0.0,0.0,57522.63886833191,69923.16781425476,0.009977982213199343
2020-07-06,28.959999084472656,0,28.790000915527344,29.26000022888184,28.770000457763672,6146000,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,6,0.0,0.0,57522.63886833191,70285.83623313904,0.005186670315733943
2020-07-07,28.790000915527344,1,28.850000381469727,29.209999084472656,28.76000022888184,4674500,0,0,0,0,1727.0,27.36000061035156,47250.72105407714,7,0.0,0.0,57522.63886833191,69992.24939537048,-0.004177041257568903
2020-07-08,29.18000030517578,-1,29.030000686645508,29.290000915527344,28.84000015258789,4676500,0,0,0,1,1727.0,27.36000061035156,47250.72105407714,8,3143.1394729614317,0.07,60665.77834129334,70665.77834129333,0.009622907561067873
2020-07-09,28.40999984741211,1,29.06999969482422,29.11000061035156,28.209999084472656,5602300,1,0,0,0,1741.0,28.40999984741211,49461.80973434448,1,0.0,0.0,60665.77834129334,70665.77834129333,0.0
